image;lmin_before;lmax_before;sne_before;lne_before;sne_after;lne_after;gray_before_path;gray_after_path;color_after_path;hist_path;ngldm_before_csv;ngldm_after_csv;ngldm_before_vis;ngldm_after_vis;demo_path
img_001.png;0.0;0.990196;0.002141;542.513398;0.002098;549.634946;lab8_output\grayscale_before\img_001_gray_before.png;lab8_output\grayscale_after\img_001_gray_after.png;lab8_output\contrasted_color\img_001_contrasted_color.png;lab8_output\histograms\img_001_histograms.png;lab8_output\ngldm_csv\img_001_ngldm_before.csv;lab8_output\ngldm_csv\img_001_ngldm_after.csv;lab8_output\ngldm_visualization\img_001_ngldm_before.png;lab8_output\ngldm_visualization\img_001_ngldm_after.png;lab8_output\demos\img_001_demo.png
img_002.png;0.0;0.998039;0.001726;602.867022;0.0017;606.530775;lab8_output\grayscale_before\img_002_gray_before.png;lab8_output\grayscale_after\img_002_gray_after.png;lab8_output\contrasted_color\img_002_contrasted_color.png;lab8_output\histograms\img_002_histograms.png;lab8_output\ngldm_csv\img_002_ngldm_before.csv;lab8_output\ngldm_csv\img_002_ngldm_after.csv;lab8_output\ngldm_visualization\img_002_ngldm_before.png;lab8_output\ngldm_visualization\img_002_ngldm_after.png;lab8_output\demos\img_002_demo.png
img_003.png;0.0;0.690196;0.002187;567.600009;0.002256;567.755333;lab8_output\grayscale_before\img_003_gray_before.png;lab8_output\grayscale_after\img_003_gray_after.png;lab8_output\contrasted_color\img_003_contrasted_color.png;lab8_output\histograms\img_003_histograms.png;lab8_output\ngldm_csv\img_003_ngldm_before.csv;lab8_output\ngldm_csv\img_003_ngldm_after.csv;lab8_output\ngldm_visualization\img_003_ngldm_before.png;lab8_output\ngldm_visualization\img_003_ngldm_after.png;lab8_output\demos\img_003_demo.png
img_004.png;0.0;0.943137;0.004659;548.81867;0.003774;559.165608;lab8_output\grayscale_before\img_004_gray_before.png;lab8_output\grayscale_after\img_004_gray_after.png;lab8_output\contrasted_color\img_004_contrasted_color.png;lab8_output\histograms\img_004_histograms.png;lab8_output\ngldm_csv\img_004_ngldm_before.csv;lab8_output\ngldm_csv\img_004_ngldm_after.csv;lab8_output\ngldm_visualization\img_004_ngldm_before.png;lab8_output\ngldm_visualization\img_004_ngldm_after.png;lab8_output\demos\img_004_demo.png
img_005.png;0.011765;0.723529;0.003613;528.972056;0.003602;531.184356;lab8_output\grayscale_before\img_005_gray_before.png;lab8_output\grayscale_after\img_005_gray_after.png;lab8_output\contrasted_color\img_005_contrasted_color.png;lab8_output\histograms\img_005_histograms.png;lab8_output\ngldm_csv\img_005_ngldm_before.csv;lab8_output\ngldm_csv\img_005_ngldm_after.csv;lab8_output\ngldm_visualization\img_005_ngldm_before.png;lab8_output\ngldm_visualization\img_005_ngldm_after.png;lab8_output\demos\img_005_demo.png
